Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
22-24,Man,Indonesia,Master’s degree,Software Engineer,3-5 years,1-2 years,50-249 employees,5-9,"1,000-1,999",$100-$999,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3,5,6,3
45-49,Man,United States of America,Doctoral degree,Research Scientist,10-20 years,5-10 years,"1000-9,999 employees",20+,"125,000-149,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",3,2,2,4
30-34,Man,United States of America,Doctoral degree,Research Scientist,10-20 years,5-10 years,"1000-9,999 employees",20+,"80,000-89,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,3,5,6
22-24,Woman,Philippines,Bachelor’s degree,Currently not employed,< 1 years,I do not use machine learning methods,,,,,,1,1,0,0
22-24,Man,Nigeria,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,,1,1,1,1
35-39,Man,Colombia,Master’s degree,Product/Project Manager,3-5 years,1-2 years,0-49 employees,3-4,"2,000-2,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,1,2
22-24,Man,Spain,Master’s degree,Software Engineer,3-5 years,2-3 years,0-49 employees,0,,,,3,2,5,4
18-21,Man,India,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,,3,2,2,4
25-29,Man,India,Master’s degree,Data Engineer,5-10 years,2-3 years,0-49 employees,3-4,"10,000-14,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",4,3,3,3
25-29,Man,Greece,Bachelor’s degree,Software Engineer,5-10 years,1-2 years,250-999 employees,3-4,"1,000-1,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,2,4,4
35-39,Woman,Nigeria,Master’s degree,Other,I have never written code,,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
35-39,Woman,Canada,Bachelor’s degree,Data Scientist,1-2 years,1-2 years,250-999 employees,3-4,,,,4,2,2,4
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,3-5 years,,,,,,,3,0,0,0
18-21,Man,India,Bachelor’s degree,Data Scientist,1-2 years,2-3 years,50-249 employees,5-9,$0-999,$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",1,3,3,4
18-21,Man,Egypt,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,2,3,5
30-34,Man,Japan,Bachelor’s degree,Software Engineer,10-20 years,10-20 years,250-999 employees,3-4,"5,000-7,499",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,4,8,9
18-21,Woman,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,3,2
40-44,Man,Belarus,Professional degree,Software Engineer,20+ years,I do not use machine learning methods,50-249 employees,0,"40,000-49,999",$0 ($USD),,1,1,0,0
60-69,Man,Brazil,Master’s degree,Machine Learning Engineer,20+ years,5-10 years,"10,000 or more employees",10-14,"30,000-39,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",5,3,4,6
40-44,Man,United States of America,Master’s degree,Software Engineer,10-20 years,4-5 years,0-49 employees,1-2,"100,000-124,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",1,2,1,3
55-59,Man,Other,Doctoral degree,Statistician,I have never written code,,50-249 employees,3-4,"80,000-89,999","$1000-$9,999","Advanced statistical software (SPSS, SAS, etc.)",0,0,0,0
18-21,Man,India,Bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,,1,1,0,0
22-24,Man,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 years,Under 1 year,0-49 employees,0,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,2,3
40-44,Man,Brazil,Master’s degree,Software Engineer,20+ years,1-2 years,"10,000 or more employees",20+,"30,000-39,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,1,3
35-39,Man,United States of America,Master’s degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,4,2
30-34,Man,Argentina,Master’s degree,Currently not employed,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,5,4
22-24,Man,India,Master’s degree,Other,1-2 years,Under 1 year,"10,000 or more employees",0,"4,000-4,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,2,1,4
35-39,Man,Other,Bachelor’s degree,Other,1-2 years,1-2 years,250-999 employees,0,"7,500-9,999",$1-$99,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,3,3
18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Business Analyst,1-2 years,,,,,,,1,0,0,0
25-29,Man,India,Master’s degree,Currently not employed,3-5 years,Under 1 year,,,,,,1,3,4,3
35-39,Man,Ukraine,I prefer not to answer,Data Analyst,1-2 years,1-2 years,0-49 employees,0,"10,000-14,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,3,5
25-29,Man,Netherlands,Bachelor’s degree,Data Analyst,1-2 years,I do not use machine learning methods,"10,000 or more employees",1-2,,,,2,1,0,0
25-29,Man,India,Master’s degree,Data Scientist,3-5 years,1-2 years,0-49 employees,3-4,"5,000-7,499","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",2,3,4,5
18-21,Woman,Nepal,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,4,5,5,4
35-39,Man,Other,Master’s degree,Data Analyst,< 1 years,Under 1 year,0-49 employees,1-2,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,1,1
45-49,Man,Israel,Bachelor’s degree,Machine Learning Engineer,20+ years,1-2 years,"1000-9,999 employees",20+,"100,000-124,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,1,2
30-34,Woman,Other,Master’s degree,Machine Learning Engineer,3-5 years,1-2 years,0-49 employees,1-2,$0-999,$100-$999,Other,4,1,1,3
18-21,Man,Other,No formal education past high school,Student,I have never written code,,,,,,,0,0,0,0
22-24,Man,Greece,Master’s degree,Machine Learning Engineer,3-5 years,Under 1 year,50-249 employees,15-19,"150,000-199,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",2,1,1,2
25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,Under 1 year,0-49 employees,1-2,$0-999,$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,2,1
25-29,Woman,United States of America,Master’s degree,Data Scientist,1-2 years,Under 1 year,250-999 employees,5-9,"100,000-124,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",3,6,2,4
60-69,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,10-20 years,3-4 years,0-49 employees,1-2,"100,000-124,999","$1000-$9,999",Other,4,6,6,7
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,1,4,2
40-44,Man,South Korea,,,,,,,,,,0,0,0,0
50-54,Man,Singapore,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,I do not use machine learning methods,0-49 employees,1-2,"1,000-1,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,0,0
22-24,Man,India,Master’s degree,Student,1-2 years,2-3 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,5,5,5
30-34,Man,United States of America,Bachelor’s degree,Other,3-5 years,I do not use machine learning methods,"1000-9,999 employees",3-4,"70,000-79,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,3,0,0
30-34,Man,Japan,Bachelor’s degree,Data Scientist,< 1 years,Under 1 year,0-49 employees,1-2,$0-999,$1-$99,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1,3,7,7
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,3,1,1,1
30-34,Man,Other,Master’s degree,Software Engineer,5-10 years,I do not use machine learning methods,0-49 employees,0,"20,000-24,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,0,0
30-34,Man,Ireland,,,,,,,,,,0,0,0,0
22-24,Woman,Malaysia,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,4,4,5
22-24,Man,Italy,Bachelor’s degree,Student,5-10 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,2,4
18-21,Man,India,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",5,2,3,6
25-29,Man,Indonesia,I prefer not to answer,Other,< 1 years,I do not use machine learning methods,50-249 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
40-44,Man,India,Master’s degree,Research Scientist,10-20 years,,,,,,,2,0,0,0
25-29,Man,Other,Bachelor’s degree,Business Analyst,3-5 years,1-2 years,0-49 employees,3-4,"15,000-19,999","$1000-$9,999","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5,4,2,3
22-24,Man,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,1,1,1
25-29,Man,India,Master’s degree,Data Scientist,1-2 years,1-2 years,250-999 employees,20+,,,,3,2,3,3
18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,I have never written code,,0-49 employees,0,,,,0,0,0,0
35-39,Man,Colombia,Professional degree,,,,,,,,,0,0,0,0
40-44,Man,United States of America,Master’s degree,Data Analyst,3-5 years,Under 1 year,250-999 employees,3-4,"100,000-124,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",2,1,1,1
22-24,Man,Nigeria,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,1,1,3
40-44,Nonbinary,Ireland,Doctoral degree,Research Scientist,1-2 years,Under 1 year,250-999 employees,20+,"2,000-2,999",$0 ($USD),Other,1,2,6,4
45-49,Man,Belgium,Master’s degree,Product/Project Manager,3-5 years,1-2 years,"1000-9,999 employees",20+,"100,000-124,999","$100,000 or more ($USD)","Local development environments (RStudio, JupyterLab, etc.)",2,2,1,1
22-24,Man,United States of America,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,,4,1,2,4
35-39,Man,United States of America,Master’s degree,Data Scientist,5-10 years,10-20 years,50-249 employees,3-4,"90,000-99,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",3,2,4,4
40-44,Man,Japan,Bachelor’s degree,Other,< 1 years,Under 1 year,250-999 employees,0,"125,000-149,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,3
18-21,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,,,1,0,0,0
18-21,Man,China,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,,1,1,1,2
25-29,Woman,United States of America,Master’s degree,Machine Learning Engineer,5-10 years,3-4 years,"10,000 or more employees",3-4,"150,000-199,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,2,3,5
18-21,Man,Spain,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,1,1,3
30-34,Man,India,Master’s degree,Other,< 1 years,I do not use machine learning methods,"10,000 or more employees",0,"40,000-49,999",$0 ($USD),,1,2,0,0
25-29,Man,Nigeria,Bachelor’s degree,Business Analyst,1-2 years,I do not use machine learning methods,"1000-9,999 employees",1-2,"5,000-7,499",$0 ($USD),,1,1,0,0
35-39,Man,United States of America,Bachelor’s degree,Data Analyst,5-10 years,1-2 years,"1000-9,999 employees",20+,"80,000-89,999","$10,000-$99,999",,3,2,1,3
40-44,Woman,India,Master’s degree,Currently not employed,< 1 years,,,,,,,2,0,0,0
18-21,Man,Nigeria,Bachelor’s degree,Student,< 1 years,Under 1 year,,,,,"Advanced statistical software (SPSS, SAS, etc.)",3,1,3,3
35-39,Woman,Brazil,Bachelor’s degree,Data Analyst,< 1 years,,,,,,,1,0,0,0
25-29,Man,Pakistan,Bachelor’s degree,Software Engineer,5-10 years,4-5 years,0-49 employees,3-4,"30,000-39,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",8,3,5,6
40-44,Man,Mexico,Master’s degree,Machine Learning Engineer,10-20 years,1-2 years,0-49 employees,1-2,"90,000-99,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,3,3
25-29,Woman,United States of America,Bachelor’s degree,Other,< 1 years,,,,,,,1,0,0,0
18-21,Man,India,Bachelor’s degree,,,,,,,,,0,0,0,0
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,10-20 years,2-3 years,"10,000 or more employees",20+,"150,000-199,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,1,3,2
18-21,Prefer not to say,Other,Bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,0,0
22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years,Under 1 year,"1000-9,999 employees",20+,,,,1,3,4,5
22-24,Woman,India,Bachelor’s degree,Data Analyst,I have never written code,,250-999 employees,3-4,$0-999,$1-$99,,0,0,0,0
22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,Under 1 year,"10,000 or more employees",,,,,2,3,3,3
18-21,Woman,China,Bachelor’s degree,Student,1-2 years,,,,,,,2,0,0,0
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,< 1 years,I do not use machine learning methods,250-999 employees,10-14,"25,000-29,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
22-24,Man,Bangladesh,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,,2,1,2,2
25-29,Man,South Africa,No formal education past high school,Currently not employed,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,1,2
30-34,Man,Turkey,Doctoral degree,Data Scientist,3-5 years,4-5 years,0-49 employees,5-9,$0-999,$1-$99,"Advanced statistical software (SPSS, SAS, etc.)",3,1,1,1
18-21,Man,Taiwan,Master’s degree,Student,3-5 years,1-2 years,,,,,,5,6,5,7
22-24,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,1-2 years,"10,000 or more employees",15-19,"5,000-7,499",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,2,3,3
30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,4-5 years,"10,000 or more employees",20+,"150,000-199,999","$100,000 or more ($USD)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,3,3,3
25-29,Woman,United States of America,Master’s degree,Data Scientist,5-10 years,3-4 years,"1000-9,999 employees",1-2,"100,000-124,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",3,5,5,6
22-24,Woman,India,Master’s degree,Data Scientist,3-5 years,Under 1 year,0-49 employees,1-2,$0-999,$100-$999,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",2,4,3,4
22-24,Man,Mexico,Bachelor’s degree,Business Analyst,< 1 years,Under 1 year,"10,000 or more employees",20+,"10,000-14,999",$1-$99,"Advanced statistical software (SPSS, SAS, etc.)",3,5,3,2
22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,I do not use machine learning methods,"10,000 or more employees",20+,,,,4,3,0,0
22-24,Man,United States of America,Master’s degree,Research Scientist,5-10 years,3-4 years,250-999 employees,20+,"50,000-59,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,3,6
18-21,Man,Indonesia,I prefer not to answer,Student,< 1 years,Under 1 year,,,,,,2,1,0,0
30-34,Man,India,Master’s degree,Other,I have never written code,,0-49 employees,0,"15,000-19,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
25-29,Man,Peru,Bachelor’s degree,Machine Learning Engineer,3-5 years,Under 1 year,0-49 employees,0,"2,000-2,999",$100-$999,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1,1,3,3
18-21,Man,Nigeria,Master’s degree,Student,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,3,3
18-21,Man,India,Master’s degree,Student,1-2 years,Under 1 year,,,,,,3,3,5,4
30-34,Man,Australia,Master’s degree,Software Engineer,10-20 years,I do not use machine learning methods,50-249 employees,3-4,"125,000-149,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,2,0,0
40-44,Man,Other,Doctoral degree,Other,10-20 years,1-2 years,0-49 employees,1-2,"40,000-49,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",3,1,3,3
18-21,Man,India,Bachelor’s degree,Student,3-5 years,2-3 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,2,1
18-21,Man,India,Bachelor’s degree,Student,1-2 years,1-2 years,,,,,,4,1,1,2
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,0,0
50-54,Man,Ukraine,Master’s degree,Currently not employed,I have never written code,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,1,3
60-69,Man,India,Master’s degree,Machine Learning Engineer,20+ years,1-2 years,0-49 employees,3-4,"100,000-124,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,5,4
25-29,Man,India,Bachelor’s degree,Student,1-2 years,1-2 years,,,,,,1,5,3,2
40-44,Man,Germany,I prefer not to answer,Data Scientist,3-5 years,2-3 years,0-49 employees,0,"125,000-149,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",5,1,4,5
40-44,Man,Argentina,Master’s degree,Data Scientist,20+ years,4-5 years,250-999 employees,3-4,"50,000-59,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,3,4,5
18-21,Man,Indonesia,Master’s degree,Student,< 1 years,I do not use machine learning methods,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1,1,0,0
22-24,Man,India,Bachelor’s degree,Data Scientist,1-2 years,Under 1 year,0-49 employees,1-2,"3,000-3,999",$1-$99,Other,1,3,5,7
50-54,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years,20 or more years,0-49 employees,1-2,"125,000-149,999","$10,000-$99,999",Other,2,5,5,4
30-34,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,1-2 years,"10,000 or more employees",5-9,"2,000-2,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",7,4,4,8
60-69,Man,United States of America,Master’s degree,Data Analyst,1-2 years,4-5 years,0-49 employees,1-2,"70,000-79,999",$0 ($USD),"Advanced statistical software (SPSS, SAS, etc.)",2,4,4,4
22-24,Man,Nepal,Master’s degree,Student,I have never written code,,,,,,"Advanced statistical software (SPSS, SAS, etc.)",0,0,0,0
25-29,Man,Canada,Master’s degree,Data Scientist,5-10 years,2-3 years,0-49 employees,20+,"50,000-59,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,3,4,6
35-39,Man,United States of America,Master’s degree,Product/Project Manager,< 1 years,Under 1 year,"10,000 or more employees",0,"90,000-99,999",$1-$99,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",1,2,1,1
22-24,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,3-5 years,3-4 years,250-999 employees,5-9,"2,000-2,999",$100-$999,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",6,3,4,5
22-24,Prefer not to say,Other,Master’s degree,Software Engineer,3-5 years,,,,,,,0,0,0,0
30-34,Woman,Australia,Master’s degree,Currently not employed,10-20 years,Under 1 year,,,,,,3,4,1,2
22-24,Man,Bangladesh,Bachelor’s degree,Student,1-2 years,I do not use machine learning methods,,,,,,2,1,0,0
25-29,Man,Other,Master’s degree,Other,5-10 years,1-2 years,0-49 employees,0,"3,000-3,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",7,1,2,2
22-24,Man,China,Master’s degree,Student,< 1 years,Under 1 year,,,,,,2,2,2,1
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,4,2,2,2
30-34,Man,United States of America,Master’s degree,Business Analyst,< 1 years,I do not use machine learning methods,"10,000 or more employees",20+,"60,000-69,999",$0 ($USD),,1,1,0,0
50-54,Man,South Korea,Doctoral degree,Research Scientist,1-2 years,1-2 years,"10,000 or more employees",0,"80,000-89,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,1,1,2
25-29,Man,India,Master’s degree,Other,< 1 years,Under 1 year,250-999 employees,5-9,"1,000-1,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,5,3
25-29,Man,Other,Doctoral degree,Data Scientist,3-5 years,1-2 years,50-249 employees,10-14,"2,000-2,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,2,2
30-34,Man,Japan,Master’s degree,Research Scientist,< 1 years,Under 1 year,"1000-9,999 employees",0,"60,000-69,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,4,3
40-44,Man,Sweden,Some college/university study without earning a bachelor’s degree,Data Analyst,1-2 years,Under 1 year,50-249 employees,1-2,"10,000-14,999",$100-$999,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",1,1,3,2
45-49,Woman,India,Master’s degree,Research Scientist,20+ years,1-2 years,250-999 employees,5-9,"1,000-1,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",8,4,3,4
22-24,Man,Romania,Master’s degree,Data Scientist,3-5 years,4-5 years,"10,000 or more employees",20+,"40,000-49,999","$100,000 or more ($USD)","Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,3,3,3
22-24,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,2,1,2
18-21,Man,Nigeria,Bachelor’s degree,Student,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,6,6,7
25-29,Man,India,Bachelor’s degree,Data Scientist,3-5 years,3-4 years,"1000-9,999 employees",3-4,"15,000-19,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,3,4,4
25-29,Man,Other,Master’s degree,Machine Learning Engineer,5-10 years,1-2 years,0-49 employees,1-2,"60,000-69,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",1,2,1,1
22-24,Man,India,,,,,,,,,,0,0,0,0
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Under 1 year,,,,,,4,3,3,4
25-29,Man,Nigeria,Bachelor’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,1,2
40-44,Man,Japan,Master’s degree,Product/Project Manager,20+ years,4-5 years,250-999 employees,1-2,"70,000-79,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",6,1,5,8
22-24,Man,India,Master’s degree,Data Analyst,< 1 years,Under 1 year,"1000-9,999 employees",0,"5,000-7,499",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,3,2
25-29,Man,India,Professional degree,Currently not employed,10-20 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",6,1,2,1
18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years,Under 1 year,0-49 employees,20+,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,2,6
25-29,Man,India,Bachelor’s degree,Data Scientist,3-5 years,1-2 years,"10,000 or more employees",20+,"15,000-19,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,1,2
50-54,Man,Russia,Doctoral degree,Data Analyst,< 1 years,Under 1 year,0-49 employees,1-2,"1,000-1,999","$100,000 or more ($USD)",,3,1,2,3
30-34,Man,Other,Master’s degree,Research Scientist,5-10 years,4-5 years,0-49 employees,1-2,"10,000-14,999",$0 ($USD),Other,1,2,1,2
22-24,Woman,India,Master’s degree,Other,3-5 years,Under 1 year,"1000-9,999 employees",20+,"7,500-9,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,5,1,2
18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,,,,,2,0,0,0
18-21,Woman,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,,6,1,3,2
25-29,Man,France,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,1,2
18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,1,2
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,1,1,1,0
25-29,Man,Netherlands,Bachelor’s degree,Student,1-2 years,,,,,,,4,0,0,0
40-44,Woman,United States of America,Doctoral degree,Other,5-10 years,5-10 years,"1000-9,999 employees",0,"40,000-49,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",4,4,2,1
18-21,Man,India,Master’s degree,Data Analyst,3-5 years,I do not use machine learning methods,0-49 employees,0,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,3,0,0
30-34,Man,India,Master’s degree,Product/Project Manager,3-5 years,3-4 years,"10,000 or more employees",3-4,"100,000-124,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",4,4,3,3
35-39,Man,South Africa,Some college/university study without earning a bachelor’s degree,Other,< 1 years,Under 1 year,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,1,3
25-29,Man,United States of America,Master’s degree,Business Analyst,1-2 years,Under 1 year,"1000-9,999 employees",0,"40,000-49,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,2,1
18-21,Woman,India,Bachelor’s degree,Student,3-5 years,,,,,,,2,0,0,0
22-24,Man,Canada,Bachelor’s degree,Business Analyst,3-5 years,Under 1 year,250-999 employees,20+,"40,000-49,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3,1,1,1
30-34,Man,Colombia,Master’s degree,Product/Project Manager,< 1 years,Under 1 year,0-49 employees,0,"5,000-7,499",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,2,2
30-34,Man,Mexico,Master’s degree,Data Scientist,3-5 years,3-4 years,0-49 employees,1-2,"15,000-19,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",3,4,4,4
40-44,Man,France,Master’s degree,Student,3-5 years,2-3 years,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,1,1
